id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
652,2018,32,19-Apr,8,1,8,2,,,8,,,,,,,
653,2018,2,20-Apr,9,10,10,1,,,9,,,,,,,
654,2018,7,21-Apr,6,8,8,1,,,8,,,,,,,
655,2018,5,21-Apr,7,5,5,1,,,5,,,,,,,
656,2018,1,22-Apr,9,1,1,1,,,9,,,,,,,
657,2018,11,22-Apr,2,10,2,2,,,10,,,,,,,
658,2018,8,23-Apr,8,7,7,1,,,8,,,,,,,
659,2018,6,24-Apr,1,2,2,1,,,1,,,,,,,
660,2018,5,25-Apr,5,9,9,1,,,9,,,,,,,
661,2018,1,26-Apr,1,8,8,1,,,1,,,,,,,
662,2018,8,27-Apr,7,6,6,1,,,7,,,,,,,
663,2018,2,28-Apr,9,2,2,1,,,2,,,,,,,
664,2018,11,29-Apr,1,10,1,2,,,1,,,,,,,
665,2018,5,29-Apr,6,5,6,1,,,6,,,,,,,
666,2018,2,30-Apr,9,7,7,1,,,9,,,,,,,
667,2018,5,01-May,5,2,2,1,,,5,,,,,,,
668,2018,8,02-May,7,10,10,1,,,7,,,,,,,
669,2018,7,03-May,6,9,6,1,,,6,,,,,,,
670,2018,4,04-May,8,2,2,1,,,2,,,,,,,
